source_level,source_authority,source_dataset,source_record_id,source_url,source_file,name,name_kana,place_name,address_detail,owner,address,municipality,municipality_code,category,type,designation,designation_date,latitude,longitude,entity_class,geometry_role,designation_level,raw_category,raw_type,raw_designation
national,文化庁,文化遺産オンライン／国指定文化財等データベース,199416,https://online.bunka.go.jp/heritages/detail/199416,13Tokyo/raw/national/records.jsonl,九条殿御集 文化遺産オンライン,,,,,,,,,,national,国(文化庁),35.71896468,139.77653505,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,203093,https://online.bunka.go.jp/heritages/detail/203093,13Tokyo/raw/national/records.jsonl,対馬宗家関係資料 文化遺産オンライン,,,,,,,,,,national,学校法人慶應義塾,35.64923529,139.74286758,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,199386,https://online.bunka.go.jp/heritages/detail/199386,13Tokyo/raw/national/records.jsonl,能装束 金紅片身替詩歌文様厚板 文化遺産オンライン,,,,,,,,,,national,独立行政法人国立文化財機構,35.71994403,139.77563736,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,203073,https://online.bunka.go.jp/heritages/detail/203073,13Tokyo/raw/national/records.jsonl,対馬宗家倭館関係資料 文化遺産オンライン,,,,,,,,,,national,国(国立国会図書館),35.67842018,139.74421564,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,136227,https://online.bunka.go.jp/heritages/detail/136227,13Tokyo/raw/national/records.jsonl,紺黄染分綸子地竹栗鼠梅文様振袖 文化遺産オンライン,,,,,,,,,,national,国(文化庁),35.71896468,139.77653505,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,214139,https://online.bunka.go.jp/heritages/detail/214139,13Tokyo/raw/national/records.jsonl,万年自鳴鐘〈田中久重作/〉 文化遺産オンライン,,,,,,,,,,national,株式会社東芝,35.71628375,139.7766626,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,160371,https://online.bunka.go.jp/heritages/detail/160371,13Tokyo/raw/national/records.jsonl,毛詩並毛詩正義〈大雅残巻/(紙背)〉 文化遺産オンライン,,,,,,,,,,national,独立行政法人国立文化財機構,35.71994403,139.77563736,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,136177,https://online.bunka.go.jp/heritages/detail/136177,13Tokyo/raw/national/records.jsonl,准南鴻烈兵略間詁(紙背) 文化遺産オンライン,,,,,,,,,,national,独立行政法人国立文化財機構,35.71994403,139.77563736,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,188232,https://online.bunka.go.jp/heritages/detail/188232,13Tokyo/raw/national/records.jsonl,島津家文書(一万五千百三十三通) 文化遺産オンライン,,,,,,,,,,national,国立大学法人東京大学,35.71104505,139.76066169,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,202823,https://online.bunka.go.jp/heritages/detail/202823,13Tokyo/raw/national/records.jsonl,不空三蔵表制集巻第五 文化遺産オンライン,,,,,,,,,,national,公益財団法人根津美術館,35.66225119,139.71708348,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,158678,https://online.bunka.go.jp/heritages/detail/158678,13Tokyo/raw/national/records.jsonl,師守記〈自筆本/〉 文化遺産オンライン,,,,,,,,,,national,国(国立国会図書館),35.67842018,139.74421564,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,199106,https://online.bunka.go.jp/heritages/detail/199106,13Tokyo/raw/national/records.jsonl,黄釉銹絵梅樹文大瓶〈宮川香山作/〉 文化遺産オンライン,,,,,,,,,,national,独立行政法人国立文化財機構,35.71994403,139.77563736,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,213879,https://online.bunka.go.jp/heritages/detail/213879,13Tokyo/raw/national/records.jsonl,壬申検査関係資料 文化遺産オンライン,,,,,,,,,,national,独立行政法人国立文化財機構,35.71994403,139.77563736,point,representative_point,national,,,
national,文化庁,文化遺産オンライン／国指定文化財等データベース,199096,https://online.bunka.go.jp/heritages/detail/199096,13Tokyo/raw/national/records.jsonl,銅人形 文化遺産オンライン,,,,,,,,,,national,独立行政法人国立文化財機構,35.71994403,139.77563736,point,representative_point,national,,,
