record_id,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,seismic_intensity,scenario,seismic_class
131075100011,13107,墨田区,Municipal,Unknown,有形文化財,建造物,building_direct,牛嶋神社神輿蔵,6.084,都心西部直下地震,6強以上
131075100012,13107,墨田区,Municipal,Unknown,有形文化財,建造物,building_direct,隅田川神社社殿,6.281,都心西部直下地震,6強以上
131075100013,13107,墨田区,Municipal,Unknown,有形文化財,建造物,building_direct,吉野家住宅主屋及び表門,,都心西部直下地震,No data
131075100014,13107,墨田区,Municipal,Unknown,有形文化財,建造物,building_direct,實相寺熊谷稲荷堂 附再建関連文書ニ点・青図三枚・写真一点,6.151,都心西部直下地震,6強以上
131075100016,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,楢崎宗重博士旧蔵美術資料群(楢崎宗重コレクション),5.954,都心西部直下地震,6弱
131075100017,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,紙本着色「隅田川両岸景色図」一巻,5.954,都心西部直下地震,6弱
131075100047,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,都鳥手鑑 ※非公開,6.285,都心西部直下地震,6強以上
131075100048,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,正福寺の板碑,6.31,都心西部直下地震,6強以上
131075100049,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,法泉寺所蔵板碑 ※非公開,6.206,都心西部直下地震,6強以上
131075100050,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,啓運閣所蔵板碑 ※非公開,6.3,都心西部直下地震,6強以上
131075100051,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,鈴木家所蔵板碑 ※非公開,,都心西部直下地震,No data
131075100052,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,松尾芭蕉「いざさらば」の句碑 (雪見の句碑),6.163,都心西部直下地震,6強以上
131075100053,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,橋本家旧蔵板碑,6.05,都心西部直下地震,6強以上
131075100054,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,烏亭焉馬「いそがずば」の狂歌碑,6.084,都心西部直下地震,6強以上
131075100055,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,宝井其角「ゆうだちや」の句碑 (雨乞いの句碑),6.163,都心西部直下地震,6強以上
131075100056,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,秋葉神社の石造燈籠 寛保元年銘 二基 宝永元年銘 二基 宝永二年銘 二基,6.393,都心西部直下地震,6強以上
131075100057,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,蓮花寺の石柱道標 文化十五年銘 一基 文政五年銘 一基,6.206,都心西部直下地震,6強以上
