record_id,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,seismic_intensity,scenario,seismic_class
13104:17,13104,新宿区,Unknown,Unknown,未判定,未細分,point,善国寺の毘沙門天像,5.793,都心南部直下地震,6弱
13104:18,13104,新宿区,Unknown,Unknown,未判定,未細分,point,経王寺の大黒天像,5.803,都心南部直下地震,6弱
13104:19,13104,新宿区,Unknown,Unknown,未判定,未細分,point,法善寺の七面明神像,5.837,都心南部直下地震,6弱
13104:20,13104,新宿区,Unknown,Unknown,未判定,未細分,point,布袋像の水鉢,5.782,都心南部直下地震,6弱
13104:21,13104,新宿区,Unknown,Unknown,未判定,未細分,point,須賀神社の三十六歌仙絵,5.915,都心南部直下地震,6弱
13104:22,13104,新宿区,Unknown,Unknown,未判定,未細分,point,馬水槽,5.907,都心南部直下地震,6弱
13104:23,13104,新宿区,Unknown,Unknown,未判定,未細分,point,天龍寺の時の鐘,5.847,都心南部直下地震,6弱
13104:24,13104,新宿区,Unknown,Unknown,未判定,未細分,point,天龍寺のやぐら時計,5.847,都心南部直下地震,6弱
13104:25,13104,新宿区,Unknown,Unknown,未判定,未細分,point,大隈重信銅像,5.815,都心南部直下地震,6弱
13104:26,13104,新宿区,Unknown,Unknown,未判定,未細分,point,長善寺(笹寺)のめのう観音像,5.973,都心南部直下地震,6弱
13104:27,13104,新宿区,Unknown,Unknown,未判定,未細分,point,鬼王神社の水鉢,5.773,都心南部直下地震,6弱
13104:28,13104,新宿区,Unknown,Unknown,未判定,未細分,point,聖徳太子画像,5.948,都心南部直下地震,6弱
13104:29,13104,新宿区,Unknown,Unknown,未判定,未細分,point,太宗寺の観無量寿経曼荼羅,5.9,都心南部直下地震,6弱
13104:30,13104,新宿区,Unknown,Unknown,未判定,未細分,point,七人役者図絵馬,5.834,都心南部直下地震,6弱
13104:31,13104,新宿区,Unknown,Unknown,未判定,未細分,point,阿弥陀三尊来迎図(専福寺),5.837,都心南部直下地震,6弱
13104:32,13104,新宿区,Unknown,Unknown,未判定,未細分,point,木造阿弥陀如来立像,5.818,都心南部直下地震,6弱
13104:33,13104,新宿区,Unknown,Unknown,未判定,未細分,point,木造地蔵菩薩坐像,5.747,都心南部直下地震,6弱
13104:34,13104,新宿区,Unknown,Unknown,未判定,未細分,point,阿弥陀三尊来迎図(光照寺),5.747,都心南部直下地震,6弱
13104:35,13104,新宿区,Unknown,Unknown,未判定,未細分,point,法然上人画像,5.747,都心南部直下地震,6弱
13104:36,13104,新宿区,Unknown,Unknown,未判定,未細分,point,西光庵の観無量寿経曼荼羅,5.948,都心南部直下地震,6弱
13104:37,13104,新宿区,Unknown,Unknown,未判定,未細分,point,天瑞元堤像 谷文晁筆,5.746,都心南部直下地震,6弱
13104:38,13104,新宿区,Unknown,Unknown,未判定,未細分,point,謙堂文益像 谷文晁筆,5.746,都心南部直下地震,6弱
13104:39,13104,新宿区,Unknown,Unknown,未判定,未細分,point,八大龍王図 谷文晁筆,5.746,都心南部直下地震,6弱
13104:40,13104,新宿区,Unknown,Unknown,未判定,未細分,point,十大弟子図 谷文晁筆,5.746,都心南部直下地震,6弱
13104:41,13104,新宿区,Unknown,Unknown,未判定,未細分,point,永福寺の銅造大日如来坐像,5.831,都心南部直下地震,6弱
13104:42,13104,新宿区,Unknown,Unknown,未判定,未細分,point,永福寺の銅造地蔵菩薩半跏像,5.831,都心南部直下地震,6弱
13104:43,13104,新宿区,Unknown,Unknown,未判定,未細分,point,済松寺の加藤文麗筆絵画作品,5.744,都心南部直下地震,6弱
13104:44,13104,新宿区,Unknown,Unknown,未判定,未細分,point,谷文晁の絵,5.746,都心南部直下地震,6弱
13104:45,13104,新宿区,Unknown,Unknown,未判定,未細分,point,月見岡八幡神社の鰐口,5.746,都心南部直下地震,6弱
13104:46,13104,新宿区,Unknown,Unknown,未判定,未細分,point,市谷亀岡八幡宮の軍配団扇,5.784,都心南部直下地震,6弱
13104:47,13104,新宿区,Unknown,Unknown,未判定,未細分,point,林光寺の高僧先達連座画像,6.068,都心南部直下地震,6強以上
13104:48,13104,新宿区,Unknown,Unknown,未判定,未細分,point,木造十一面観音坐像,5.747,都心南部直下地震,6弱
13104:49,13104,新宿区,Unknown,Unknown,未判定,未細分,point,亮朝院の梵鐘,5.731,都心南部直下地震,6弱
13104:50,13104,新宿区,Unknown,Unknown,未判定,未細分,point,宝泉寺の梵鐘,5.684,都心南部直下地震,6弱
13104:51,13104,新宿区,Unknown,Unknown,未判定,未細分,point,銅造地蔵菩薩半跏像,5.739,都心南部直下地震,6弱
